entry_rule,sl,tp,hold_d,train_n,train_mean,train_median,train_win,train_pf,train_worst,test_n,test_mean,test_median,test_win,test_pf,test_worst
delay 4h,0.2,0.3,7,241,0.044419352229491026,0.0033252682925647464,0.5020746887966805,1.2417359750584935,-0.5877151130642956,161,-0.009201580985328459,-0.011484663516068184,0.4658385093167702,0.9180055616620277,-0.4362284812395515
drop 10% (after 1h),,0.5,7,227,0.04415216556509614,0.19494378348420452,0.5859030837004405,1.1463250906336457,-1.0,104,0.006837163141280241,0.04378165708808097,0.5769230769230769,1.0437482998809449,-1.0
delay 8h,0.2,0.3,7,241,0.04385647522324735,0.018002847033405305,0.5103734439834025,1.2412493227387855,-0.5876984156896357,161,-0.01789745078071953,-0.008158849777116594,0.4782608695652174,0.8426352202340783,-0.4480923233333333
drop 20% (after 1h),0.45,0.3,7,211,0.04356852960334694,0.302424885464025,0.6303317535545023,1.167431604714626,-0.9924818591100215,49,-0.06865827210081751,0.03299572317276064,0.5102040816326531,0.7187901981659676,-0.939813817030585
delay 8h,0.45,0.3,7,241,0.043514309728285634,0.1786086771398638,0.6431535269709544,1.1828508030173026,-1.0,161,-0.008525022435621001,0.005124612272174849,0.5217391304347826,0.9307746167782874,-0.9361220128146969
drop 30% (after 4h),0.3,0.3,1,188,0.04328191271893785,0.07719125287514245,0.574468085106383,1.2971057945752158,-0.722997045416352,24,-0.08335680747637932,-0.08156599241581233,0.375,0.5597279080293046,-0.6360648776383081
delay 8h,0.2,0.5,7,241,0.04255212387530032,-0.0351427522694501,0.47717842323651455,1.2183060418038683,-0.5876984156896357,161,-0.013163033098756834,-0.008158849777116594,0.4782608695652174,0.8842629696253239,-0.4480923233333333
drop 10% (after 4h),,0.2,7,227,0.0419491753926832,0.3884180172801364,0.7004405286343612,1.1992572669092867,-1.0,104,0.001857965503868899,0.05028179030074392,0.5865384615384616,1.012912228993343,-1.0
drop 20% (after 1h),0.15,,7,211,0.04194915646630159,-0.3043067626180249,0.35545023696682465,1.2137520223643445,-0.45716105585862477,49,0.001852926827700611,-0.10429353053221302,0.42857142857142855,1.012340716827265,-0.3383132170305853
drop 10% (after 4h),0.2,0.3,7,227,0.04173646796697251,-0.026450356740518405,0.4889867841409692,1.2146101190738665,-0.5473205654012343,104,-0.0032055149480452955,0.019945377548390424,0.5192307692307693,0.9771344074294459,-0.4357191324679484
drop 30% (after 4h),0.3,0.3,3,188,0.04172022656214152,0.15503829664466817,0.5851063829787234,1.2111887748250874,-0.7779488886106537,24,-0.0490562627310296,0.01320870137871246,0.5,0.7961742911014305,-0.6360648776383081
drop 10% (after 4h),,0.3,7,227,0.04169204719162919,0.27695241734334547,0.6431718061674009,1.1611637531975945,-1.0,104,0.01110443843282831,0.04787866750309215,0.5769230769230769,1.0761677336340474,-1.0
drop 10% (after 4h),0.2,0.5,7,227,0.041633770813952385,-0.359419509900822,0.44933920704845814,1.1974814822218816,-0.5473205654012343,104,0.009938861933654473,0.019945377548390424,0.5192307692307693,1.0708959313162816,-0.4357191324679484
delay 0.5h,0.2,0.5,7,241,0.04158152365768321,-0.3691416767398867,0.42323651452282157,1.194450034803792,-0.49938462161877106,161,0.010268382473598917,-0.0024068713150607324,0.484472049689441,1.097704662906947,-0.4210858029200069
delay 12h,0.45,0.5,1,241,0.04144051169989711,0.07915214139937227,0.6431535269709544,1.2879275820985878,-0.9429488287391418,161,-0.008823106561788344,0.0029285862985756095,0.5031055900621118,0.8409693109892081,-0.9257081601339957
